0,HeartTeleport,320,320,,,,,
0,SET,Loop,5,,,,,
0,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.4,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0,JMPZ,76,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Jump,8,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPREL,8,,,,,,
0,JMPREL,15,,,,,,
0,JMPREL,22,,,,,,
0,JMPREL,27,,,,,,
0,JMPREL,32,,,,,,
0,JMPREL,40,,,,,,
0,JMPREL,48,,,,,,
0,JMPREL,52,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,
0,HeartTeleport,320,320,,,,,
0,HeartMode,0,,,,,,
0,GasterBlaster,1,192,307,192,307,0,0.7
0,GasterBlaster,1,320,177,320,177,90,0.7
0,GasterBlaster,1,462,307,462,307,180,0.7
0,GasterBlaster,1,320,447,320,447,270,0.7
1.2,JMPABS,3,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,
0,HeartTeleport,320,320,,,,,
0,HeartMode,0,,,,,,
0,GasterBlaster,1,192,177,192,177,45,0.7
0,GasterBlaster,1,452,177,452,177,135,0.7
0,GasterBlaster,1,452,437,452,437,225,0.7
0,GasterBlaster,1,192,437,192,437,315,0.7
1.2,JMPABS,3,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartTeleport,489,376,,,,,
0,HeartMode,1,,,,,,
0,BoneVRepeat,345,364,20,0,120,6,76
0,BoneVRepeat,297,280,82,2,120,6,76
1.9,JMPABS,3,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartTeleport,169,376,,,,,
0,HeartMode,1,,,,,,
0,BoneVRepeat,297,364,20,2,120,6,76
0,BoneVRepeat,345,280,82,0,120,6,76
1.9,JMPABS,3,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartTeleport,330,304,,,,,
0,HeartMode,1,,,,,,
0,Platform,309,314,41,0,0,,
0,Platform,309,354,41,0,0,,
0,BoneVRepeat,121,364,30,2,0,25,16
0,BoneV,521,280,35,2,240,,
0,BoneV,1,319,65,0,240,,
1.5,JMPABS,3,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartTeleport,330,304,,,,,
0,HeartMode,1,,,,,,
0,Platform,309,314,41,0,0,,
0,Platform,309,354,41,0,0,,
0,BoneVRepeat,121,364,30,2,0,25,16
0,BoneV,119,280,35,0,240,,
0,BoneV,639,319,65,2,240,,
1.5,JMPABS,3,,,,,,
0,CombatZoneResizeInstant,179,226,404,391,,,
0,HeartTeleport,387,320,,,,,
0,HeartMode,0,,,,,,
0,SineBones,16,-20,300,55,,,
1.7,JMPABS,3,,,,,,
0,CombatZoneResizeInstant,239,226,464,391,,,
0,HeartTeleport,267,320,,,,,
0,HeartMode,0,,,,,,
0,SineBones,16,20,300,55,,,
1.7,JMPABS,3,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,
0,EndAttack,,,,,,,
